product_id,product_title,rating,total_reviews,price,top_reviews
itm7d0e1ef71672e,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)",4.7,222,"₹1,55,999","5 Mind-blowing purchase 25 Ultra, you beauty! 🔥💯 READ MORE Pavan Kumar Certified Buyer , Bengaluru 3 months ago 65 12 Permalink Report Abuse || 5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 6 months ago 943 278 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 7 months ago 2023 634 Permalink Report Abuse"
itmc5f14b041aa5b,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 512 GB)",4.7,222,"₹1,31,999","5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 6 months ago 939 276 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 7 months ago 2020 634 Permalink Report Abuse || 5 Mind-blowing purchase 25 Ultra, you beauty! 🔥💯 READ MORE Pavan Kumar Certified Buyer , Bengaluru 3 months ago 62 12 Permalink Report Abuse"
itm9ae0e397e0b0d,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",4.6,444,"₹79,999","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9662 2013 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2457 525 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3473 755 Permalink Report Abuse"
itm7d3b6b5d0f501,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)",4.6,444,"₹84,749","5 Worth every penny Best in night photography READ MORE himanshu mehta Certified Buyer , Himmatnagar Feb, 2024 9712 2024 Permalink Report Abuse || 5 Terrific purchase Amazing Products 👏 🤩 READ MORE Narendra  Singh Certified Buyer , Jaipur Feb, 2024 2469 526 Permalink Report Abuse || 5 Super! Best mobile for photography Charging wise also good No issues at all. Giving my review after using it almost 50 days. READ MORE ROHITH CHINTA Certified Buyer , East Godavari Mar, 2024 3484 756 Permalink Report Abuse"
